vehicle.trip.route_id,vehicle.trip.direction_id,time_bucket,delay_total,late_5_min,early_5_min,count
1,0.0,2024-05-18 21:00:00-07:00,24,2,0,4
1,0.0,2024-05-18 21:20:00-07:00,25,2,0,4
1,0.0,2024-05-18 21:40:00-07:00,2,0,0,3
1,0.0,2024-05-18 22:00:00-07:00,1,0,0,4
1,0.0,2024-05-18 22:20:00-07:00,3,0,0,4
1,0.0,2024-05-18 22:40:00-07:00,4,0,0,4
1,0.0,2024-05-18 23:00:00-07:00,3,0,0,2
1,0.0,2024-05-18 23:20:00-07:00,2,0,0,4
1,0.0,2024-05-18 23:40:00-07:00,-3,0,0,3
1,0.0,2024-05-19 00:00:00-07:00,1,0,0,3
1,0.0,2024-05-19 00:20:00-07:00,42,2,0,3
1,0.0,2024-05-19 00:40:00-07:00,40,1,0,2
1,0.0,2024-05-19 04:20:00-07:00,0,0,0,1
1,0.0,2024-05-19 04:40:00-07:00,-3,0,0,2
1,0.0,2024-05-19 05:00:00-07:00,-1,0,0,3
1,0.0,2024-05-19 05:20:00-07:00,-2,0,0,4
1,0.0,2024-05-19 05:40:00-07:00,5,0,0,6
1,0.0,2024-05-19 06:00:00-07:00,7,1,0,5
1,0.0,2024-05-19 06:20:00-07:00,1,0,0,5
1,0.0,2024-05-19 06:40:00-07:00,4,0,0,5
1,0.0,2024-05-19 07:00:00-07:00,13,1,0,7
1,0.0,2024-05-19 07:20:00-07:00,11,1,0,5
1,0.0,2024-05-19 07:40:00-07:00,4,0,0,6
1,0.0,2024-05-19 08:00:00-07:00,-5,0,0,6
1,0.0,2024-05-19 08:20:00-07:00,0,0,0,5
1,0.0,2024-05-19 08:40:00-07:00,4,0,0,6
1,0.0,2024-05-19 09:00:00-07:00,13,2,0,6
1,0.0,2024-05-19 09:20:00-07:00,8,1,0,7
1,0.0,2024-05-19 09:40:00-07:00,3,0,0,6
1,0.0,2024-05-19 10:00:00-07:00,-5,0,0,7
1,0.0,2024-05-19 10:20:00-07:00,-1,0,0,7
