vehicle.trip.route_id,vehicle.trip.direction_id,time_bucket,delay_total,late_5_min,early_5_min,count
1,0.0,2024-03-10 21:00:00-07:00,0,0,0,4
1,0.0,2024-03-10 21:20:00-07:00,1,0,0,4
1,0.0,2024-03-10 21:40:00-07:00,-1,0,0,4
1,0.0,2024-03-10 22:00:00-07:00,1,0,0,3
1,0.0,2024-03-10 22:20:00-07:00,0,0,0,4
1,0.0,2024-03-10 22:40:00-07:00,-1,0,0,4
1,0.0,2024-03-10 23:00:00-07:00,-3,0,1,3
1,0.0,2024-03-10 23:20:00-07:00,5,0,0,4
1,0.0,2024-03-10 23:40:00-07:00,-5,0,0,4
1,0.0,2024-03-11 00:00:00-07:00,-8,0,0,3
1,0.0,2024-03-11 00:20:00-07:00,-5,0,1,2
1,0.0,2024-03-11 00:40:00-07:00,0,0,0,1
1,0.0,2024-03-11 04:20:00-07:00,-1,0,0,1
1,0.0,2024-03-11 04:40:00-07:00,-2,0,0,2
1,0.0,2024-03-11 05:00:00-07:00,-2,0,0,5
1,0.0,2024-03-11 05:20:00-07:00,9,0,0,5
1,0.0,2024-03-11 05:40:00-07:00,7,0,0,5
1,0.0,2024-03-11 06:00:00-07:00,4,0,0,6
1,0.0,2024-03-11 06:20:00-07:00,8,0,0,5
1,0.0,2024-03-11 06:40:00-07:00,12,2,0,5
1,0.0,2024-03-11 07:00:00-07:00,32,4,0,8
1,0.0,2024-03-11 07:20:00-07:00,41,4,0,9
1,0.0,2024-03-11 07:40:00-07:00,54,4,0,11
1,0.0,2024-03-11 08:00:00-07:00,69,7,0,12
1,0.0,2024-03-11 08:20:00-07:00,92,8,0,12
1,0.0,2024-03-11 08:40:00-07:00,108,8,0,12
1,0.0,2024-03-11 09:00:00-07:00,109,10,0,11
1,0.0,2024-03-11 09:20:00-07:00,90,8,0,11
1,0.0,2024-03-11 09:40:00-07:00,109,8,0,9
1,0.0,2024-03-11 10:00:00-07:00,152,9,0,9
1,0.0,2024-03-11 10:20:00-07:00,214,9,0,10
1,0.0,2024-03-11 10:40:00-07:00,297,11,0,11
1,0.0,2024-03-11 11:00:00-07:00,311,12,0,13
