vehicle.trip.route_id,vehicle.trip.direction_id,time_bucket,delay_total,late_5_min,early_5_min,count
1,0.0,2024-06-08 04:40:00-07:00,1,0,0,2
1,0.0,2024-06-08 05:00:00-07:00,0,0,0,4
1,0.0,2024-06-08 05:20:00-07:00,-4,0,0,4
1,0.0,2024-06-08 05:40:00-07:00,0,0,0,4
1,0.0,2024-06-08 06:00:00-07:00,16,1,0,5
1,0.0,2024-06-08 06:20:00-07:00,5,1,0,6
1,0.0,2024-06-08 06:40:00-07:00,-1,0,0,5
1,0.0,2024-06-08 07:00:00-07:00,3,0,0,6
1,0.0,2024-06-08 07:20:00-07:00,2,0,0,6
1,0.0,2024-06-08 07:40:00-07:00,5,0,0,6
1,0.0,2024-06-08 08:00:00-07:00,4,0,0,6
1,0.0,2024-06-08 08:20:00-07:00,1,0,0,6
1,0.0,2024-06-08 08:40:00-07:00,8,1,0,7
1,0.0,2024-06-08 09:00:00-07:00,1,0,0,6
1,0.0,2024-06-08 09:20:00-07:00,17,1,0,6
1,0.0,2024-06-08 09:40:00-07:00,2,0,0,6
1,0.0,2024-06-08 10:00:00-07:00,-2,0,0,5
1,0.0,2024-06-08 10:20:00-07:00,5,1,0,7
1,0.0,2024-06-08 10:40:00-07:00,-7,0,0,6
1,0.0,2024-06-08 11:00:00-07:00,8,1,0,6
1,0.0,2024-06-08 11:20:00-07:00,13,1,0,6
1,0.0,2024-06-08 11:40:00-07:00,18,1,0,6
1,0.0,2024-06-08 12:00:00-07:00,3,0,0,7
1,0.0,2024-06-08 12:20:00-07:00,2,0,0,6
1,0.0,2024-06-08 12:40:00-07:00,5,1,0,6
1,0.0,2024-06-08 13:00:00-07:00,19,3,0,7
1,0.0,2024-06-08 13:20:00-07:00,23,3,1,7
1,0.0,2024-06-08 13:40:00-07:00,22,3,0,7
1,0.0,2024-06-08 14:00:00-07:00,18,2,1,7
1,0.0,2024-06-08 14:20:00-07:00,30,3,0,8
1,0.0,2024-06-08 14:40:00-07:00,6,1,0,7
1,0.0,2024-06-08 15:00:00-07:00,13,2,0,7
1,0.0,2024-06-08 15:20:00-07:00,19,2,0,8
1,0.0,2024-06-08 15:40:00-07:00,5,0,0,7
1,0.0,2024-06-08 16:00:00-07:00,6,1,0,6
1,0.0,2024-06-08 16:20:00-07:00,3,0,0,7
1,0.0,2024-06-08 16:40:00-07:00,4,0,0,6
