time_bucket,delay_total,late_5_min,early_5_min,count
2024-04-04 21:00:00-07:00,539,54,11,347
2024-04-04 21:20:00-07:00,737,68,13,367
2024-04-04 21:40:00-07:00,821,74,13,347
2024-04-04 22:00:00-07:00,685,54,13,309
2024-04-04 22:20:00-07:00,325,34,12,245
2024-04-04 22:40:00-07:00,406,31,2,195
2024-04-04 23:00:00-07:00,276,27,5,166
2024-04-04 23:20:00-07:00,275,27,3,169
2024-04-04 23:40:00-07:00,241,23,4,164
2024-04-05 00:00:00-07:00,125,16,5,155
2024-04-05 00:20:00-07:00,64,14,7,125
2024-04-05 00:40:00-07:00,38,9,2,82
2024-04-05 01:00:00-07:00,71,7,1,59
2024-04-05 01:20:00-07:00,66,7,1,52
2024-04-05 01:40:00-07:00,80,5,0,51
2024-04-05 02:00:00-07:00,66,5,0,51
2024-04-05 02:20:00-07:00,76,6,0,52
2024-04-05 02:40:00-07:00,33,4,1,49
2024-04-05 03:00:00-07:00,44,7,1,47
2024-04-05 03:20:00-07:00,49,3,3,51
2024-04-05 03:40:00-07:00,48,6,1,49
2024-04-05 04:00:00-07:00,14,3,0,50
2024-04-05 04:20:00-07:00,43,4,1,67
2024-04-05 04:40:00-07:00,-3,4,2,91
2024-04-05 05:00:00-07:00,60,6,5,174
2024-04-05 05:20:00-07:00,-30,11,12,227
2024-04-05 05:40:00-07:00,-61,8,13,263
2024-04-05 06:00:00-07:00,123,17,8,309
2024-04-05 06:20:00-07:00,212,25,9,346
2024-04-05 06:40:00-07:00,284,24,6,382
2024-04-05 07:00:00-07:00,288,33,10,457
2024-04-05 07:20:00-07:00,210,30,18,498
2024-04-05 07:40:00-07:00,206,36,20,529
2024-04-05 08:00:00-07:00,327,47,23,549
2024-04-05 08:20:00-07:00,453,36,20,556
2024-04-05 08:40:00-07:00,508,46,19,559
2024-04-05 09:00:00-07:00,275,48,27,565
2024-04-05 09:20:00-07:00,431,51,23,568
2024-04-05 09:40:00-07:00,402,54,20,564
2024-04-05 10:00:00-07:00,571,63,28,568
2024-04-05 10:20:00-07:00,522,56,23,564
2024-04-05 10:40:00-07:00,548,54,24,556
2024-04-05 11:00:00-07:00,562,56,22,566
2024-04-05 11:20:00-07:00,403,47,21,567
2024-04-05 11:40:00-07:00,538,58,13,568
2024-04-05 12:00:00-07:00,595,59,18,570
2024-04-05 12:20:00-07:00,697,56,15,567
2024-04-05 12:40:00-07:00,939,72,13,571
2024-04-05 13:00:00-07:00,1016,95,13,578
2024-04-05 13:20:00-07:00,941,84,15,584
2024-04-05 13:40:00-07:00,671,70,20,569
2024-04-05 14:00:00-07:00,824,70,18,587
2024-04-05 14:20:00-07:00,694,71,22,587
2024-04-05 14:40:00-07:00,867,69,20,590
2024-04-05 15:00:00-07:00,768,73,16,576
2024-04-05 15:20:00-07:00,1353,96,17,593
2024-04-05 15:40:00-07:00,1251,109,18,610
2024-04-05 16:00:00-07:00,1369,122,15,603
2024-04-05 16:20:00-07:00,1603,140,22,618
2024-04-05 16:40:00-07:00,1762,142,18,618
2024-04-05 17:00:00-07:00,1628,126,15,599
2024-04-05 17:20:00-07:00,1747,121,13,582
2024-04-05 17:40:00-07:00,1874,138,16,598
2024-04-05 18:00:00-07:00,1673,133,22,582
2024-04-05 18:20:00-07:00,1442,125,20,563
2024-04-05 18:40:00-07:00,1185,98,30,513
2024-04-05 19:00:00-07:00,907,76,18,478
2024-04-05 19:20:00-07:00,787,59,22,455
2024-04-05 19:40:00-07:00,664,54,16,403
2024-04-05 20:00:00-07:00,654,55,9,390
2024-04-05 20:20:00-07:00,778,65,14,377
2024-04-05 20:40:00-07:00,723,61,12,358
2024-04-05 21:00:00-07:00,252,29,6,165
