time_bucket,delay_total,late_5_min,early_5_min,count
2024-03-25 21:00:00-07:00,351,39,14,350
2024-03-25 21:20:00-07:00,374,43,21,365
2024-03-25 21:40:00-07:00,487,46,15,332
2024-03-25 22:00:00-07:00,250,29,14,289
2024-03-25 22:20:00-07:00,180,23,12,242
2024-03-25 22:40:00-07:00,246,17,5,193
2024-03-25 23:00:00-07:00,355,19,5,175
2024-03-25 23:20:00-07:00,328,20,5,166
2024-03-25 23:40:00-07:00,104,13,6,159
2024-03-26 00:00:00-07:00,124,16,4,153
2024-03-26 00:20:00-07:00,47,15,9,123
2024-03-26 00:40:00-07:00,4,12,8,81
2024-03-26 01:00:00-07:00,87,7,2,57
2024-03-26 01:20:00-07:00,98,9,0,49
2024-03-26 01:40:00-07:00,99,9,0,50
2024-03-26 02:00:00-07:00,54,7,1,49
2024-03-26 02:20:00-07:00,40,5,5,52
2024-03-26 02:40:00-07:00,39,5,3,55
2024-03-26 03:00:00-07:00,33,3,0,48
2024-03-26 03:20:00-07:00,50,5,0,52
2024-03-26 03:40:00-07:00,22,7,3,50
2024-03-26 04:00:00-07:00,36,6,2,53
2024-03-26 04:20:00-07:00,52,6,0,64
2024-03-26 04:40:00-07:00,24,6,3,94
2024-03-26 05:00:00-07:00,64,7,2,178
2024-03-26 05:20:00-07:00,43,10,7,227
2024-03-26 05:40:00-07:00,18,14,10,272
2024-03-26 06:00:00-07:00,166,17,3,306
2024-03-26 06:20:00-07:00,237,22,2,351
2024-03-26 06:40:00-07:00,311,28,3,400
2024-03-26 07:00:00-07:00,360,36,4,444
2024-03-26 07:20:00-07:00,355,39,12,501
2024-03-26 07:40:00-07:00,480,47,13,528
2024-03-26 08:00:00-07:00,814,75,13,551
2024-03-26 08:20:00-07:00,1223,105,10,570
2024-03-26 08:40:00-07:00,1247,106,9,586
2024-03-26 09:00:00-07:00,1233,110,14,579
2024-03-26 09:20:00-07:00,1168,95,17,588
2024-03-26 09:40:00-07:00,1125,97,11,576
2024-03-26 10:00:00-07:00,1062,84,17,564
2024-03-26 10:20:00-07:00,887,74,10,561
2024-03-26 10:40:00-07:00,575,62,20,562
2024-03-26 11:00:00-07:00,614,63,26,556
2024-03-26 11:20:00-07:00,590,55,22,563
2024-03-26 11:40:00-07:00,493,54,22,566
2024-03-26 12:00:00-07:00,507,58,26,543
2024-03-26 12:20:00-07:00,680,57,21,560
2024-03-26 12:40:00-07:00,798,60,19,563
2024-03-26 13:00:00-07:00,1002,69,19,557
2024-03-26 13:20:00-07:00,1426,88,20,586
2024-03-26 13:40:00-07:00,1468,82,24,561
2024-03-26 14:00:00-07:00,1170,77,25,552
2024-03-26 14:20:00-07:00,1043,76,20,559
2024-03-26 14:40:00-07:00,983,77,24,574
2024-03-26 15:00:00-07:00,986,67,15,570
2024-03-26 15:20:00-07:00,1021,92,16,585
2024-03-26 15:40:00-07:00,947,95,14,590
2024-03-26 16:00:00-07:00,1255,114,17,613
2024-03-26 16:20:00-07:00,1594,146,12,624
2024-03-26 16:40:00-07:00,1450,141,10,606
2024-03-26 17:00:00-07:00,1285,122,12,603
2024-03-26 17:20:00-07:00,1316,121,19,591
2024-03-26 17:40:00-07:00,1387,125,16,580
2024-03-26 18:00:00-07:00,1361,122,13,585
2024-03-26 18:20:00-07:00,1102,97,23,567
2024-03-26 18:40:00-07:00,625,69,28,516
2024-03-26 19:00:00-07:00,431,53,27,489
2024-03-26 19:20:00-07:00,403,48,26,459
2024-03-26 19:40:00-07:00,355,43,21,419
2024-03-26 20:00:00-07:00,427,43,16,391
2024-03-26 20:20:00-07:00,617,69,21,392
2024-03-26 20:40:00-07:00,667,71,14,381
2024-03-26 21:00:00-07:00,170,25,3,159
