time_bucket,delay_total,late_5_min,early_5_min,count
2023-12-09 20:00:00-08:00,860,61,8,346
2023-12-09 20:20:00-08:00,849,64,6,338
2023-12-09 20:40:00-08:00,773,54,7,332
2023-12-09 21:00:00-08:00,553,47,11,317
2023-12-09 21:20:00-08:00,600,55,10,313
2023-12-09 21:40:00-08:00,640,62,4,289
2023-12-09 22:00:00-08:00,619,49,7,273
2023-12-09 22:20:00-08:00,566,48,2,223
2023-12-09 22:40:00-08:00,581,49,2,189
2023-12-09 23:00:00-08:00,563,43,1,165
2023-12-09 23:20:00-08:00,523,42,4,168
2023-12-09 23:40:00-08:00,400,38,3,161
2023-12-10 00:00:00-08:00,261,28,5,146
2023-12-10 00:20:00-08:00,170,21,4,121
2023-12-10 00:40:00-08:00,212,21,1,80
2023-12-10 01:00:00-08:00,222,19,0,60
2023-12-10 01:20:00-08:00,210,14,0,55
2023-12-10 01:40:00-08:00,232,20,0,54
2023-12-10 02:00:00-08:00,184,17,0,50
2023-12-10 02:20:00-08:00,262,18,0,56
2023-12-10 02:40:00-08:00,208,18,0,52
2023-12-10 03:00:00-08:00,174,14,2,52
2023-12-10 03:20:00-08:00,172,14,0,54
2023-12-10 03:40:00-08:00,117,12,3,53
2023-12-10 04:00:00-08:00,130,10,0,51
2023-12-10 04:20:00-08:00,141,11,1,58
2023-12-10 04:40:00-08:00,82,12,3,88
2023-12-10 05:00:00-08:00,80,12,5,148
2023-12-10 05:20:00-08:00,107,14,7,185
2023-12-10 05:40:00-08:00,54,15,9,199
2023-12-10 06:00:00-08:00,110,19,8,238
2023-12-10 06:20:00-08:00,185,20,10,252
2023-12-10 06:40:00-08:00,151,15,10,274
2023-12-10 07:00:00-08:00,115,16,6,294
2023-12-10 07:20:00-08:00,-8,15,14,312
2023-12-10 07:40:00-08:00,92,25,17,329
2023-12-10 08:00:00-08:00,-109,16,20,349
2023-12-10 08:20:00-08:00,1,19,22,369
2023-12-10 08:40:00-08:00,148,26,22,376
2023-12-10 09:00:00-08:00,115,26,18,397
2023-12-10 09:20:00-08:00,-6,27,26,413
2023-12-10 09:40:00-08:00,193,31,25,409
2023-12-10 10:00:00-08:00,357,32,23,430
2023-12-10 10:20:00-08:00,296,28,19,412
2023-12-10 10:40:00-08:00,716,47,22,422
2023-12-10 11:00:00-08:00,875,50,14,441
2023-12-10 11:20:00-08:00,831,50,14,448
2023-12-10 11:40:00-08:00,555,48,16,457
2023-12-10 12:00:00-08:00,349,43,19,450
2023-12-10 12:20:00-08:00,439,51,12,450
2023-12-10 12:40:00-08:00,561,61,12,460
2023-12-10 13:00:00-08:00,574,48,15,455
2023-12-10 13:20:00-08:00,427,39,15,458
2023-12-10 13:40:00-08:00,384,45,21,451
2023-12-10 14:00:00-08:00,367,51,28,461
2023-12-10 14:20:00-08:00,479,49,19,461
2023-12-10 14:40:00-08:00,367,37,23,467
2023-12-10 15:00:00-08:00,441,39,18,460
2023-12-10 15:20:00-08:00,389,39,16,453
2023-12-10 15:40:00-08:00,441,47,32,458
2023-12-10 16:00:00-08:00,380,38,17,458
2023-12-10 16:20:00-08:00,370,41,20,458
2023-12-10 16:40:00-08:00,407,41,13,462
2023-12-10 17:00:00-08:00,306,38,19,455
2023-12-10 17:20:00-08:00,484,50,16,447
2023-12-10 17:40:00-08:00,566,58,18,456
2023-12-10 18:00:00-08:00,586,63,16,441
2023-12-10 18:20:00-08:00,641,57,23,437
2023-12-10 18:40:00-08:00,263,35,24,417
2023-12-10 19:00:00-08:00,181,33,29,400
2023-12-10 19:20:00-08:00,212,29,17,380
2023-12-10 19:40:00-08:00,326,36,16,368
2023-12-10 20:00:00-08:00,90,14,14,179
