time_bucket,delay_total,late_5_min,early_5_min,count
2024-05-05 21:00:00-07:00,569,44,7,307
2024-05-05 21:20:00-07:00,514,39,10,317
2024-05-05 21:40:00-07:00,448,34,11,295
2024-05-05 22:00:00-07:00,396,35,13,273
2024-05-05 22:20:00-07:00,425,34,11,232
2024-05-05 22:40:00-07:00,417,31,1,179
2024-05-05 23:00:00-07:00,414,32,3,161
2024-05-05 23:20:00-07:00,362,24,1,166
2024-05-05 23:40:00-07:00,179,19,2,154
2024-05-06 00:00:00-07:00,147,13,6,147
2024-05-06 00:20:00-07:00,106,13,7,116
2024-05-06 00:40:00-07:00,136,12,4,78
2024-05-06 01:00:00-07:00,87,10,1,58
2024-05-06 01:20:00-07:00,107,7,4,53
2024-05-06 01:40:00-07:00,119,15,1,50
2024-05-06 02:00:00-07:00,98,9,1,53
2024-05-06 02:20:00-07:00,73,8,4,49
2024-05-06 02:40:00-07:00,42,8,4,52
2024-05-06 03:00:00-07:00,23,8,3,49
2024-05-06 03:20:00-07:00,63,6,1,52
2024-05-06 03:40:00-07:00,50,8,1,50
2024-05-06 04:00:00-07:00,13,4,0,57
2024-05-06 04:20:00-07:00,-15,2,2,66
2024-05-06 04:40:00-07:00,24,6,1,101
2024-05-06 05:00:00-07:00,48,9,2,178
2024-05-06 05:20:00-07:00,-2,8,6,227
2024-05-06 05:40:00-07:00,-29,13,10,271
2024-05-06 06:00:00-07:00,104,15,10,302
2024-05-06 06:20:00-07:00,90,14,8,353
2024-05-06 06:40:00-07:00,176,22,8,397
2024-05-06 07:00:00-07:00,248,28,13,455
2024-05-06 07:20:00-07:00,344,46,19,497
2024-05-06 07:40:00-07:00,404,54,14,526
2024-05-06 08:00:00-07:00,476,49,22,557
2024-05-06 08:20:00-07:00,737,64,12,570
2024-05-06 08:40:00-07:00,992,83,12,578
2024-05-06 09:00:00-07:00,952,82,9,579
2024-05-06 09:20:00-07:00,768,76,18,576
2024-05-06 09:40:00-07:00,620,62,16,570
2024-05-06 10:00:00-07:00,668,61,12,569
2024-05-06 10:20:00-07:00,528,56,20,563
2024-05-06 10:40:00-07:00,559,53,21,561
2024-05-06 11:00:00-07:00,358,40,24,563
2024-05-06 11:20:00-07:00,245,42,23,546
2024-05-06 11:40:00-07:00,736,57,17,552
2024-05-06 12:00:00-07:00,717,64,23,543
2024-05-06 12:20:00-07:00,851,78,20,559
2024-05-06 12:40:00-07:00,833,71,20,557
2024-05-06 13:00:00-07:00,843,70,20,566
2024-05-06 13:20:00-07:00,963,71,19,566
2024-05-06 13:40:00-07:00,849,64,18,564
2024-05-06 14:00:00-07:00,698,53,21,574
2024-05-06 14:20:00-07:00,602,61,19,570
2024-05-06 14:40:00-07:00,616,62,19,578
2024-05-06 15:00:00-07:00,587,53,10,578
2024-05-06 15:20:00-07:00,583,63,15,582
2024-05-06 15:40:00-07:00,952,80,14,605
2024-05-06 16:00:00-07:00,1061,97,16,613
2024-05-06 16:20:00-07:00,1265,114,13,620
2024-05-06 16:40:00-07:00,1068,94,11,619
2024-05-06 17:00:00-07:00,998,100,15,602
2024-05-06 17:20:00-07:00,943,93,15,598
2024-05-06 17:40:00-07:00,854,84,15,591
2024-05-06 18:00:00-07:00,794,87,30,578
2024-05-06 18:20:00-07:00,619,80,40,546
2024-05-06 18:40:00-07:00,320,44,38,510
2024-05-06 19:00:00-07:00,306,38,37,491
2024-05-06 19:20:00-07:00,369,34,22,440
2024-05-06 19:40:00-07:00,404,43,20,419
2024-05-06 20:00:00-07:00,313,39,21,398
2024-05-06 20:20:00-07:00,521,40,15,380
2024-05-06 20:40:00-07:00,653,52,12,370
2024-05-06 21:00:00-07:00,125,20,10,165
