time_bucket,delay_total,late_5_min,early_5_min,count
2024-07-06 21:00:00-07:00,450,41,10,312
2024-07-06 21:20:00-07:00,599,48,13,311
2024-07-06 21:40:00-07:00,427,48,8,297
2024-07-06 22:00:00-07:00,473,42,15,272
2024-07-06 22:20:00-07:00,442,34,8,227
2024-07-06 22:40:00-07:00,289,33,7,184
2024-07-06 23:00:00-07:00,257,29,5,165
2024-07-06 23:20:00-07:00,212,27,4,157
2024-07-06 23:40:00-07:00,169,29,8,159
2024-07-07 00:00:00-07:00,132,17,6,135
2024-07-07 00:20:00-07:00,271,19,4,113
2024-07-07 00:40:00-07:00,241,21,3,88
2024-07-07 01:00:00-07:00,197,15,0,64
2024-07-07 01:20:00-07:00,124,14,6,58
2024-07-07 01:40:00-07:00,74,8,2,50
2024-07-07 02:00:00-07:00,116,10,4,50
2024-07-07 02:20:00-07:00,154,13,2,50
2024-07-07 02:40:00-07:00,40,7,1,52
2024-07-07 03:00:00-07:00,58,8,2,47
2024-07-07 03:20:00-07:00,53,7,2,54
2024-07-07 03:40:00-07:00,24,4,1,52
2024-07-07 04:00:00-07:00,14,4,3,50
2024-07-07 04:20:00-07:00,-12,2,4,57
2024-07-07 04:40:00-07:00,-136,1,13,89
2024-07-07 05:00:00-07:00,-184,3,19,152
2024-07-07 05:20:00-07:00,-127,6,17,186
2024-07-07 05:40:00-07:00,-173,9,22,206
2024-07-07 06:00:00-07:00,-115,7,22,239
2024-07-07 06:20:00-07:00,-38,7,12,256
2024-07-07 06:40:00-07:00,-131,10,19,274
2024-07-07 07:00:00-07:00,-188,15,20,305
2024-07-07 07:20:00-07:00,-95,14,20,316
2024-07-07 07:40:00-07:00,-301,14,21,336
2024-07-07 08:00:00-07:00,0,18,14,356
2024-07-07 08:20:00-07:00,-25,27,27,388
2024-07-07 08:40:00-07:00,42,26,26,391
2024-07-07 09:00:00-07:00,61,22,31,407
2024-07-07 09:20:00-07:00,104,32,33,418
2024-07-07 09:40:00-07:00,113,24,23,413
2024-07-07 10:00:00-07:00,197,29,13,425
2024-07-07 10:20:00-07:00,156,28,26,433
2024-07-07 10:40:00-07:00,303,30,22,436
2024-07-07 11:00:00-07:00,336,33,15,447
2024-07-07 11:20:00-07:00,150,35,21,435
2024-07-07 11:40:00-07:00,152,32,24,447
2024-07-07 12:00:00-07:00,165,40,23,440
2024-07-07 12:20:00-07:00,165,37,23,447
2024-07-07 12:40:00-07:00,153,33,19,450
2024-07-07 13:00:00-07:00,281,40,12,447
2024-07-07 13:20:00-07:00,429,50,14,463
2024-07-07 13:40:00-07:00,437,45,15,462
2024-07-07 14:00:00-07:00,423,47,16,469
2024-07-07 14:20:00-07:00,337,46,22,469
2024-07-07 14:40:00-07:00,404,48,17,459
2024-07-07 15:00:00-07:00,514,58,20,464
2024-07-07 15:20:00-07:00,516,55,20,455
2024-07-07 15:40:00-07:00,613,62,24,468
2024-07-07 16:00:00-07:00,631,62,26,470
2024-07-07 16:20:00-07:00,553,50,21,465
2024-07-07 16:40:00-07:00,350,48,21,459
2024-07-07 17:00:00-07:00,229,44,31,459
2024-07-07 17:20:00-07:00,133,38,30,456
2024-07-07 17:40:00-07:00,308,48,31,460
2024-07-07 18:00:00-07:00,166,43,31,439
2024-07-07 18:20:00-07:00,-9,25,32,424
2024-07-07 18:40:00-07:00,215,39,29,415
2024-07-07 19:00:00-07:00,89,38,33,398
2024-07-07 19:20:00-07:00,250,44,24,391
2024-07-07 19:40:00-07:00,379,37,25,373
2024-07-07 20:00:00-07:00,90,27,26,361
2024-07-07 20:20:00-07:00,102,32,17,347
2024-07-07 20:40:00-07:00,300,34,15,341
2024-07-07 21:00:00-07:00,3,17,12,158
