time_bucket,delay_total,late_5_min,early_5_min,count
2024-06-26 21:00:00-07:00,429,45,15,338
2024-06-26 21:20:00-07:00,617,54,10,351
2024-06-26 21:40:00-07:00,889,82,12,328
2024-06-26 22:00:00-07:00,654,51,2,164
2024-06-27 03:20:00-07:00,44,5,0,34
2024-06-27 03:40:00-07:00,79,7,0,48
2024-06-27 04:00:00-07:00,11,2,2,52
2024-06-27 04:20:00-07:00,24,4,4,62
2024-06-27 04:40:00-07:00,43,8,4,98
2024-06-27 05:00:00-07:00,116,13,2,177
2024-06-27 05:20:00-07:00,5,12,10,233
2024-06-27 05:40:00-07:00,72,11,9,266
2024-06-27 06:00:00-07:00,153,21,9,306
2024-06-27 06:20:00-07:00,464,64,6,341
2024-06-27 06:40:00-07:00,251,29,8,392
2024-06-27 07:00:00-07:00,267,33,9,457
2024-06-27 07:20:00-07:00,269,40,12,500
2024-06-27 07:40:00-07:00,292,34,16,527
2024-06-27 08:00:00-07:00,214,40,21,540
2024-06-27 08:20:00-07:00,263,42,23,556
2024-06-27 08:40:00-07:00,584,41,13,571
2024-06-27 09:00:00-07:00,568,60,18,565
2024-06-27 09:20:00-07:00,573,53,22,570
2024-06-27 09:40:00-07:00,753,67,22,571
2024-06-27 10:00:00-07:00,702,60,24,565
2024-06-27 10:20:00-07:00,765,60,19,560
2024-06-27 10:40:00-07:00,701,66,20,562
2024-06-27 11:00:00-07:00,760,65,19,560
2024-06-27 11:20:00-07:00,824,57,16,564
2024-06-27 11:40:00-07:00,924,64,15,569
2024-06-27 12:00:00-07:00,1039,76,17,567
2024-06-27 12:20:00-07:00,1190,87,8,577
2024-06-27 12:40:00-07:00,1060,85,11,571
2024-06-27 13:00:00-07:00,1022,87,15,565
2024-06-27 13:20:00-07:00,940,88,17,569
2024-06-27 13:40:00-07:00,816,78,25,573
2024-06-27 14:00:00-07:00,602,73,22,572
2024-06-27 14:20:00-07:00,767,78,22,581
2024-06-27 14:40:00-07:00,714,66,20,575
2024-06-27 15:00:00-07:00,848,84,17,588
2024-06-27 15:20:00-07:00,1049,101,15,584
2024-06-27 15:40:00-07:00,1109,100,14,586
2024-06-27 16:00:00-07:00,1302,109,11,594
2024-06-27 16:20:00-07:00,1310,124,18,588
2024-06-27 16:40:00-07:00,1545,133,18,602
2024-06-27 17:00:00-07:00,1711,125,17,602
2024-06-27 17:20:00-07:00,1978,140,14,605
2024-06-27 17:40:00-07:00,1839,138,8,590
2024-06-27 18:00:00-07:00,1594,123,14,586
2024-06-27 18:20:00-07:00,1432,115,29,557
2024-06-27 18:40:00-07:00,1046,91,35,522
2024-06-27 19:00:00-07:00,734,63,39,491
2024-06-27 19:20:00-07:00,877,68,20,456
2024-06-27 19:40:00-07:00,705,59,21,421
2024-06-27 20:00:00-07:00,596,52,18,406
2024-06-27 20:20:00-07:00,634,53,12,390
2024-06-27 20:40:00-07:00,571,56,10,369
2024-06-27 21:00:00-07:00,195,23,8,174
