time_bucket,delay_total,late_5_min,early_5_min,count
2024-05-07 21:00:00-07:00,337,41,14,352
2024-05-07 21:20:00-07:00,320,49,16,365
2024-05-07 21:40:00-07:00,377,42,19,324
2024-05-07 22:00:00-07:00,391,48,14,293
2024-05-07 22:20:00-07:00,349,33,15,245
2024-05-07 22:40:00-07:00,266,26,5,196
2024-05-07 23:00:00-07:00,213,26,5,173
2024-05-07 23:20:00-07:00,240,18,4,176
2024-05-07 23:40:00-07:00,210,10,4,151
2024-05-08 00:00:00-07:00,58,8,6,156
2024-05-08 00:20:00-07:00,37,12,7,121
2024-05-08 00:40:00-07:00,38,9,4,88
2024-05-08 01:00:00-07:00,66,7,1,60
2024-05-08 01:20:00-07:00,43,5,1,53
2024-05-08 01:40:00-07:00,68,8,0,52
2024-05-08 02:00:00-07:00,65,6,0,51
2024-05-08 02:20:00-07:00,42,4,1,51
2024-05-08 02:40:00-07:00,3,4,2,49
2024-05-08 03:00:00-07:00,54,3,1,53
2024-05-08 03:20:00-07:00,24,3,0,49
2024-05-08 03:40:00-07:00,28,4,0,49
2024-05-08 04:00:00-07:00,33,5,0,52
2024-05-08 04:20:00-07:00,28,6,2,70
2024-05-08 04:40:00-07:00,-12,6,4,95
2024-05-08 05:00:00-07:00,16,10,3,177
2024-05-08 05:20:00-07:00,61,16,7,229
2024-05-08 05:40:00-07:00,1,11,13,268
2024-05-08 06:00:00-07:00,143,17,3,303
2024-05-08 06:20:00-07:00,195,26,10,361
2024-05-08 06:40:00-07:00,380,34,10,394
2024-05-08 07:00:00-07:00,453,40,9,460
2024-05-08 07:20:00-07:00,548,52,10,502
2024-05-08 07:40:00-07:00,700,68,15,549
2024-05-08 08:00:00-07:00,775,70,10,555
2024-05-08 08:20:00-07:00,1157,104,8,568
2024-05-08 08:40:00-07:00,1357,118,6,579
2024-05-08 09:00:00-07:00,1372,130,10,594
2024-05-08 09:20:00-07:00,1057,93,12,579
2024-05-08 09:40:00-07:00,929,83,15,578
2024-05-08 10:00:00-07:00,961,84,11,569
2024-05-08 10:20:00-07:00,1010,78,10,574
2024-05-08 10:40:00-07:00,766,68,15,570
2024-05-08 11:00:00-07:00,653,54,16,564
2024-05-08 11:20:00-07:00,769,61,13,569
2024-05-08 11:40:00-07:00,796,66,16,564
2024-05-08 12:00:00-07:00,893,79,18,571
2024-05-08 12:20:00-07:00,995,85,19,568
2024-05-08 12:40:00-07:00,880,74,16,572
2024-05-08 13:00:00-07:00,764,77,19,562
2024-05-08 13:20:00-07:00,743,65,10,562
2024-05-08 13:40:00-07:00,952,63,17,566
2024-05-08 14:00:00-07:00,779,69,18,579
2024-05-08 14:20:00-07:00,909,83,18,589
2024-05-08 14:40:00-07:00,1020,73,11,581
2024-05-08 15:00:00-07:00,1149,95,9,586
2024-05-08 15:20:00-07:00,1304,118,7,601
2024-05-08 15:40:00-07:00,1220,105,16,588
2024-05-08 16:00:00-07:00,1253,108,9,592
2024-05-08 16:20:00-07:00,1368,102,10,593
2024-05-08 16:40:00-07:00,1504,121,14,600
2024-05-08 17:00:00-07:00,1399,111,17,591
2024-05-08 17:20:00-07:00,1642,129,17,592
2024-05-08 17:40:00-07:00,1976,153,8,581
2024-05-08 18:00:00-07:00,1846,157,12,584
2024-05-08 18:20:00-07:00,1649,126,12,561
2024-05-08 18:40:00-07:00,1460,118,18,536
2024-05-08 19:00:00-07:00,976,82,20,492
2024-05-08 19:20:00-07:00,935,73,20,459
2024-05-08 19:40:00-07:00,878,66,9,426
2024-05-08 20:00:00-07:00,723,66,12,404
2024-05-08 20:20:00-07:00,584,54,7,385
2024-05-08 20:40:00-07:00,782,58,7,376
2024-05-08 21:00:00-07:00,219,26,9,168
