time_bucket,delay_total,late_5_min,early_5_min,count
2024-04-05 21:00:00-07:00,690,58,12,343
2024-04-05 21:20:00-07:00,669,55,10,346
2024-04-05 21:40:00-07:00,496,46,15,315
2024-04-05 22:00:00-07:00,569,53,11,288
2024-04-05 22:20:00-07:00,635,51,7,251
2024-04-05 22:40:00-07:00,658,51,3,196
2024-04-05 23:00:00-07:00,547,43,2,178
2024-04-05 23:20:00-07:00,328,27,0,170
2024-04-05 23:40:00-07:00,275,27,3,165
2024-04-06 00:00:00-07:00,240,23,1,152
2024-04-06 00:20:00-07:00,132,18,11,127
2024-04-06 00:40:00-07:00,180,18,1,88
2024-04-06 01:00:00-07:00,309,13,1,63
2024-04-06 01:20:00-07:00,156,14,0,54
2024-04-06 01:40:00-07:00,86,10,0,47
2024-04-06 02:00:00-07:00,122,10,0,51
2024-04-06 02:20:00-07:00,82,8,1,50
2024-04-06 02:40:00-07:00,98,8,0,48
2024-04-06 03:00:00-07:00,64,6,1,47
2024-04-06 03:20:00-07:00,52,8,2,50
2024-04-06 03:40:00-07:00,29,6,3,48
2024-04-06 04:00:00-07:00,13,4,4,47
2024-04-06 04:20:00-07:00,-2,5,7,55
2024-04-06 04:40:00-07:00,44,6,2,75
2024-04-06 05:00:00-07:00,5,5,5,137
2024-04-06 05:20:00-07:00,-2,7,9,176
2024-04-06 05:40:00-07:00,20,11,11,193
2024-04-06 06:00:00-07:00,110,12,8,237
2024-04-06 06:20:00-07:00,-7,10,14,257
2024-04-06 06:40:00-07:00,71,12,6,275
2024-04-06 07:00:00-07:00,73,22,11,309
2024-04-06 07:20:00-07:00,144,19,9,327
2024-04-06 07:40:00-07:00,111,20,14,339
2024-04-06 08:00:00-07:00,178,22,12,368
2024-04-06 08:20:00-07:00,172,22,13,383
2024-04-06 08:40:00-07:00,276,30,10,391
2024-04-06 09:00:00-07:00,309,29,17,413
2024-04-06 09:20:00-07:00,388,40,11,424
2024-04-06 09:40:00-07:00,392,41,13,428
2024-04-06 10:00:00-07:00,458,39,11,442
2024-04-06 10:20:00-07:00,337,26,9,435
2024-04-06 10:40:00-07:00,376,33,10,443
2024-04-06 11:00:00-07:00,538,44,8,446
2024-04-06 11:20:00-07:00,766,58,6,450
2024-04-06 11:40:00-07:00,885,70,10,455
2024-04-06 12:00:00-07:00,871,63,8,456
2024-04-06 12:20:00-07:00,953,75,8,470
2024-04-06 12:40:00-07:00,843,73,10,469
2024-04-06 13:00:00-07:00,844,66,12,479
2024-04-06 13:20:00-07:00,981,77,7,465
2024-04-06 13:40:00-07:00,915,72,7,459
2024-04-06 14:00:00-07:00,978,78,12,470
2024-04-06 14:20:00-07:00,656,57,16,472
2024-04-06 14:40:00-07:00,566,50,12,455
2024-04-06 15:00:00-07:00,812,66,7,463
2024-04-06 15:20:00-07:00,762,62,18,465
2024-04-06 15:40:00-07:00,925,73,9,462
2024-04-06 16:00:00-07:00,921,76,11,472
2024-04-06 16:20:00-07:00,909,78,9,463
2024-04-06 16:40:00-07:00,803,63,8,461
2024-04-06 17:00:00-07:00,794,67,13,458
2024-04-06 17:20:00-07:00,752,71,20,464
2024-04-06 17:40:00-07:00,775,56,12,457
2024-04-06 18:00:00-07:00,731,62,17,453
2024-04-06 18:20:00-07:00,724,49,19,434
2024-04-06 18:40:00-07:00,485,50,18,423
2024-04-06 19:00:00-07:00,452,42,18,403
2024-04-06 19:20:00-07:00,398,34,17,376
2024-04-06 19:40:00-07:00,381,36,14,355
2024-04-06 20:00:00-07:00,499,40,14,357
2024-04-06 20:20:00-07:00,501,41,10,359
2024-04-06 20:40:00-07:00,404,40,6,335
2024-04-06 21:00:00-07:00,125,16,2,129
