time_bucket,delay_total,late_5_min,early_5_min,count
2024-07-11 21:00:00-07:00,392,33,6,326
2024-07-11 21:20:00-07:00,651,57,9,348
2024-07-11 21:40:00-07:00,486,48,9,323
2024-07-11 22:00:00-07:00,499,52,11,300
2024-07-11 22:20:00-07:00,488,45,12,245
2024-07-11 22:40:00-07:00,335,33,8,189
2024-07-11 23:00:00-07:00,312,26,5,165
2024-07-11 23:20:00-07:00,324,29,6,161
2024-07-11 23:40:00-07:00,215,32,11,161
2024-07-12 00:00:00-07:00,228,28,7,147
2024-07-12 00:20:00-07:00,140,29,12,120
2024-07-12 00:40:00-07:00,133,19,6,85
2024-07-12 01:00:00-07:00,59,5,2,54
2024-07-12 01:20:00-07:00,65,12,3,53
2024-07-12 01:40:00-07:00,44,7,2,51
2024-07-12 02:00:00-07:00,52,8,3,49
2024-07-12 02:20:00-07:00,51,8,1,52
2024-07-12 02:40:00-07:00,1,5,2,50
2024-07-12 03:00:00-07:00,57,7,2,50
2024-07-12 03:20:00-07:00,37,7,2,50
2024-07-12 03:40:00-07:00,47,4,1,48
2024-07-12 04:00:00-07:00,13,3,2,53
2024-07-12 04:20:00-07:00,-139,6,5,70
2024-07-12 04:40:00-07:00,-224,4,21,119
2024-07-12 05:00:00-07:00,-136,7,17,178
2024-07-12 05:20:00-07:00,-145,12,17,227
2024-07-12 05:40:00-07:00,-225,9,27,278
2024-07-12 06:00:00-07:00,-64,13,13,304
2024-07-12 06:20:00-07:00,-73,21,16,347
2024-07-12 06:40:00-07:00,21,24,20,401
2024-07-12 07:00:00-07:00,-39,21,24,439
2024-07-12 07:20:00-07:00,-46,30,27,477
2024-07-12 07:40:00-07:00,100,40,31,507
2024-07-12 08:00:00-07:00,414,38,30,523
2024-07-12 08:20:00-07:00,107,25,25,529
2024-07-12 08:40:00-07:00,166,37,27,540
2024-07-12 09:00:00-07:00,57,30,30,543
2024-07-12 09:20:00-07:00,234,29,23,533
2024-07-12 09:40:00-07:00,249,38,24,529
2024-07-12 10:00:00-07:00,430,54,17,540
2024-07-12 10:20:00-07:00,471,50,20,544
2024-07-12 10:40:00-07:00,350,44,25,538
2024-07-12 11:00:00-07:00,520,46,16,539
2024-07-12 11:20:00-07:00,518,53,16,543
2024-07-12 11:40:00-07:00,570,51,19,553
2024-07-12 12:00:00-07:00,647,57,16,548
2024-07-12 12:20:00-07:00,715,71,15,548
2024-07-12 12:40:00-07:00,699,67,14,552
2024-07-12 13:00:00-07:00,632,77,21,555
2024-07-12 13:20:00-07:00,679,70,13,558
2024-07-12 13:40:00-07:00,787,69,10,560
2024-07-12 14:00:00-07:00,835,73,10,572
2024-07-12 14:20:00-07:00,883,84,15,563
2024-07-12 14:40:00-07:00,709,65,18,560
2024-07-12 15:00:00-07:00,920,90,18,570
2024-07-12 15:20:00-07:00,1098,103,16,586
2024-07-12 15:40:00-07:00,1175,114,15,591
2024-07-12 16:00:00-07:00,1132,100,17,586
2024-07-12 16:20:00-07:00,1016,93,12,590
2024-07-12 16:40:00-07:00,1005,99,23,580
2024-07-12 17:00:00-07:00,1056,97,29,594
2024-07-12 17:20:00-07:00,1022,103,24,594
2024-07-12 17:40:00-07:00,1085,90,18,563
2024-07-12 18:00:00-07:00,1059,91,25,558
2024-07-12 18:20:00-07:00,934,95,34,543
2024-07-12 18:40:00-07:00,848,83,34,506
2024-07-12 19:00:00-07:00,620,65,30,479
2024-07-12 19:20:00-07:00,664,66,19,444
2024-07-12 19:40:00-07:00,602,63,20,409
2024-07-12 20:00:00-07:00,771,65,14,394
2024-07-12 20:20:00-07:00,763,70,15,386
2024-07-12 20:40:00-07:00,802,63,13,372
2024-07-12 21:00:00-07:00,246,21,9,162
