time_bucket,delay_total,late_5_min,early_5_min,count
2024-02-06 20:00:00-08:00,969,71,19,366
2024-02-06 20:20:00-08:00,1432,99,18,412
2024-02-06 20:40:00-08:00,1371,95,20,372
2024-02-06 21:00:00-08:00,1564,86,16,361
2024-02-06 21:20:00-08:00,1272,64,21,347
2024-02-06 21:40:00-08:00,1012,53,12,307
2024-02-06 22:00:00-08:00,951,49,14,283
2024-02-06 22:20:00-08:00,1102,53,8,236
2024-02-06 22:40:00-08:00,818,47,9,195
2024-02-06 23:00:00-08:00,882,36,8,170
2024-02-06 23:20:00-08:00,710,36,8,164
2024-02-06 23:40:00-08:00,558,27,4,157
2024-02-07 00:00:00-08:00,269,20,10,147
2024-02-07 00:20:00-08:00,261,21,8,119
2024-02-07 00:40:00-08:00,137,17,3,83
2024-02-07 01:00:00-08:00,214,13,0,58
2024-02-07 01:20:00-08:00,141,14,0,55
2024-02-07 01:40:00-08:00,117,12,0,54
2024-02-07 02:00:00-08:00,67,8,0,51
2024-02-07 02:20:00-08:00,91,10,0,53
2024-02-07 02:40:00-08:00,94,10,0,51
2024-02-07 03:00:00-08:00,46,5,0,52
2024-02-07 03:20:00-08:00,65,6,0,51
2024-02-07 03:40:00-08:00,105,7,0,49
2024-02-07 04:00:00-08:00,79,5,1,56
2024-02-07 04:20:00-08:00,47,6,3,65
2024-02-07 04:40:00-08:00,70,9,6,95
2024-02-07 05:00:00-08:00,156,13,3,172
2024-02-07 05:20:00-08:00,152,22,8,230
2024-02-07 05:40:00-08:00,204,23,3,264
2024-02-07 06:00:00-08:00,279,25,4,304
2024-02-07 06:20:00-08:00,494,30,5,351
2024-02-07 06:40:00-08:00,754,42,9,403
2024-02-07 07:00:00-08:00,639,46,6,445
2024-02-07 07:20:00-08:00,938,68,8,488
2024-02-07 07:40:00-08:00,1258,91,15,524
2024-02-07 08:00:00-08:00,1595,106,14,556
2024-02-07 08:20:00-08:00,1655,114,5,567
2024-02-07 08:40:00-08:00,1837,148,9,578
2024-02-07 09:00:00-08:00,1660,136,12,588
2024-02-07 09:20:00-08:00,1825,125,10,584
2024-02-07 09:40:00-08:00,1489,107,11,572
2024-02-07 10:00:00-08:00,1112,82,11,558
2024-02-07 10:20:00-08:00,999,79,19,574
2024-02-07 10:40:00-08:00,790,72,22,552
2024-02-07 11:00:00-08:00,590,55,32,560
2024-02-07 11:20:00-08:00,423,53,37,558
2024-02-07 11:40:00-08:00,334,48,23,554
2024-02-07 12:00:00-08:00,368,59,30,550
2024-02-07 12:20:00-08:00,434,59,24,558
2024-02-07 12:40:00-08:00,408,48,23,547
2024-02-07 13:00:00-08:00,454,50,21,556
2024-02-07 13:20:00-08:00,522,68,18,562
2024-02-07 13:40:00-08:00,429,49,19,556
2024-02-07 14:00:00-08:00,521,60,22,572
2024-02-07 14:20:00-08:00,545,58,21,575
2024-02-07 14:40:00-08:00,444,58,24,571
2024-02-07 15:00:00-08:00,771,72,18,565
2024-02-07 15:20:00-08:00,1045,93,5,599
2024-02-07 15:40:00-08:00,896,78,12,595
2024-02-07 16:00:00-08:00,834,78,16,613
2024-02-07 16:20:00-08:00,644,72,23,598
2024-02-07 16:40:00-08:00,498,67,21,593
2024-02-07 17:00:00-08:00,701,73,21,584
2024-02-07 17:20:00-08:00,846,82,18,595
2024-02-07 17:40:00-08:00,1101,101,15,595
2024-02-07 18:00:00-08:00,1038,87,17,575
2024-02-07 18:20:00-08:00,813,76,22,561
2024-02-07 18:40:00-08:00,635,73,20,526
2024-02-07 19:00:00-08:00,603,67,24,499
2024-02-07 19:20:00-08:00,313,43,21,452
2024-02-07 19:40:00-08:00,463,46,13,421
2024-02-07 20:00:00-08:00,77,17,17,192
