time_bucket,delay_total,late_5_min,early_5_min,count
2024-04-30 21:00:00-07:00,298,46,22,359
2024-04-30 21:20:00-07:00,481,48,13,365
2024-04-30 21:40:00-07:00,514,40,17,325
2024-04-30 22:00:00-07:00,414,36,8,297
2024-04-30 22:20:00-07:00,423,34,8,244
2024-04-30 22:40:00-07:00,450,33,6,196
2024-04-30 23:00:00-07:00,247,26,6,174
2024-04-30 23:20:00-07:00,190,17,6,170
2024-04-30 23:40:00-07:00,134,16,5,160
2024-05-01 00:00:00-07:00,165,16,6,151
2024-05-01 00:20:00-07:00,89,15,6,127
2024-05-01 00:40:00-07:00,115,17,5,85
2024-05-01 01:00:00-07:00,116,12,1,56
2024-05-01 01:20:00-07:00,118,10,0,54
2024-05-01 01:40:00-07:00,80,8,0,52
2024-05-01 02:00:00-07:00,114,7,0,53
2024-05-01 02:20:00-07:00,42,5,2,51
2024-05-01 02:40:00-07:00,36,7,2,54
2024-05-01 03:00:00-07:00,30,5,2,47
2024-05-01 03:20:00-07:00,75,7,1,49
2024-05-01 03:40:00-07:00,74,8,1,51
2024-05-01 04:00:00-07:00,67,8,1,54
2024-05-01 04:20:00-07:00,49,8,1,67
2024-05-01 04:40:00-07:00,-4,7,3,99
2024-05-01 05:00:00-07:00,-4,3,0,170
2024-05-01 05:20:00-07:00,57,10,5,224
2024-05-01 05:40:00-07:00,-6,11,6,267
2024-05-01 06:00:00-07:00,77,13,8,310
2024-05-01 06:20:00-07:00,76,13,15,353
2024-05-01 06:40:00-07:00,155,15,9,394
2024-05-01 07:00:00-07:00,250,22,9,447
2024-05-01 07:20:00-07:00,250,37,18,501
2024-05-01 07:40:00-07:00,448,56,12,536
2024-05-01 08:00:00-07:00,724,62,14,554
2024-05-01 08:20:00-07:00,898,82,11,557
2024-05-01 08:40:00-07:00,1001,98,10,568
2024-05-01 09:00:00-07:00,968,90,11,588
2024-05-01 09:20:00-07:00,962,91,13,581
2024-05-01 09:40:00-07:00,870,85,14,558
2024-05-01 10:00:00-07:00,888,81,14,560
2024-05-01 10:20:00-07:00,808,86,12,562
2024-05-01 10:40:00-07:00,660,75,14,553
2024-05-01 11:00:00-07:00,767,70,23,553
2024-05-01 11:20:00-07:00,630,73,17,549
2024-05-01 11:40:00-07:00,653,61,19,558
2024-05-01 12:00:00-07:00,716,62,26,545
2024-05-01 12:20:00-07:00,845,88,18,551
2024-05-01 12:40:00-07:00,919,86,15,564
2024-05-01 13:00:00-07:00,853,87,18,573
2024-05-01 13:20:00-07:00,605,60,15,569
2024-05-01 13:40:00-07:00,506,51,20,564
2024-05-01 14:00:00-07:00,657,56,18,570
2024-05-01 14:20:00-07:00,550,66,13,567
2024-05-01 14:40:00-07:00,667,58,14,566
2024-05-01 15:00:00-07:00,852,82,10,570
2024-05-01 15:20:00-07:00,1046,102,6,584
2024-05-01 15:40:00-07:00,1211,115,11,599
2024-05-01 16:00:00-07:00,1324,118,13,603
2024-05-01 16:20:00-07:00,1262,105,11,593
2024-05-01 16:40:00-07:00,1302,106,20,604
2024-05-01 17:00:00-07:00,1132,98,10,582
2024-05-01 17:20:00-07:00,1265,106,12,589
2024-05-01 17:40:00-07:00,1401,124,8,582
2024-05-01 18:00:00-07:00,1239,112,15,569
2024-05-01 18:20:00-07:00,980,88,22,538
2024-05-01 18:40:00-07:00,659,70,31,513
2024-05-01 19:00:00-07:00,368,58,29,487
2024-05-01 19:20:00-07:00,434,46,16,442
2024-05-01 19:40:00-07:00,410,39,15,422
2024-05-01 20:00:00-07:00,424,42,13,399
2024-05-01 20:20:00-07:00,419,47,8,384
2024-05-01 20:40:00-07:00,373,38,12,361
2024-05-01 21:00:00-07:00,105,20,9,170
