time_bucket,delay_total,late_5_min,early_5_min,count
2024-03-19 21:00:00-07:00,443,52,10,342
2024-03-19 21:20:00-07:00,464,50,15,360
2024-03-19 21:40:00-07:00,548,62,14,333
2024-03-19 22:00:00-07:00,473,44,14,291
2024-03-19 22:20:00-07:00,398,39,9,244
2024-03-19 22:40:00-07:00,418,33,3,185
2024-03-19 23:00:00-07:00,302,29,6,164
2024-03-19 23:20:00-07:00,274,25,5,167
2024-03-19 23:40:00-07:00,229,21,3,163
2024-03-20 00:00:00-07:00,93,15,4,152
2024-03-20 00:20:00-07:00,55,12,6,123
2024-03-20 00:40:00-07:00,58,8,3,79
2024-03-20 01:00:00-07:00,84,6,1,54
2024-03-20 01:20:00-07:00,94,7,1,54
2024-03-20 01:40:00-07:00,93,5,0,53
2024-03-20 02:00:00-07:00,41,4,0,53
2024-03-20 02:20:00-07:00,63,5,1,54
2024-03-20 02:40:00-07:00,22,2,0,50
2024-03-20 03:00:00-07:00,47,4,2,50
2024-03-20 03:20:00-07:00,25,3,0,50
2024-03-20 03:40:00-07:00,13,6,0,48
2024-03-20 04:00:00-07:00,28,3,0,47
2024-03-20 04:20:00-07:00,15,5,2,68
2024-03-20 04:40:00-07:00,-12,6,4,102
2024-03-20 05:00:00-07:00,15,9,5,175
2024-03-20 05:20:00-07:00,36,11,6,227
2024-03-20 05:40:00-07:00,81,21,10,265
2024-03-20 06:00:00-07:00,134,18,6,302
2024-03-20 06:20:00-07:00,177,21,9,349
2024-03-20 06:40:00-07:00,228,30,7,395
2024-03-20 07:00:00-07:00,330,37,10,447
2024-03-20 07:20:00-07:00,417,49,15,487
2024-03-20 07:40:00-07:00,611,61,11,534
2024-03-20 08:00:00-07:00,958,76,7,543
2024-03-20 08:20:00-07:00,1153,100,9,556
2024-03-20 08:40:00-07:00,1213,109,8,561
2024-03-20 09:00:00-07:00,1359,133,14,586
2024-03-20 09:20:00-07:00,1188,121,10,578
2024-03-20 09:40:00-07:00,1133,97,13,559
2024-03-20 10:00:00-07:00,1070,93,9,553
2024-03-20 10:20:00-07:00,919,83,12,557
2024-03-20 10:40:00-07:00,838,67,15,553
2024-03-20 11:00:00-07:00,912,71,10,551
2024-03-20 11:20:00-07:00,803,64,12,557
2024-03-20 11:40:00-07:00,748,66,10,555
2024-03-20 12:00:00-07:00,712,57,14,558
2024-03-20 12:20:00-07:00,681,68,15,562
2024-03-20 12:40:00-07:00,651,60,15,562
2024-03-20 13:00:00-07:00,579,53,21,561
2024-03-20 13:20:00-07:00,711,71,14,561
2024-03-20 13:40:00-07:00,623,61,16,555
2024-03-20 14:00:00-07:00,756,72,16,570
2024-03-20 14:20:00-07:00,756,73,10,567
2024-03-20 14:40:00-07:00,855,83,12,568
2024-03-20 15:00:00-07:00,1100,103,10,585
2024-03-20 15:20:00-07:00,1285,116,10,583
2024-03-20 15:40:00-07:00,1261,104,9,586
2024-03-20 16:00:00-07:00,1205,94,11,598
2024-03-20 16:20:00-07:00,1368,113,10,587
2024-03-20 16:40:00-07:00,1288,112,9,590
2024-03-20 17:00:00-07:00,1438,116,10,589
2024-03-20 17:20:00-07:00,1321,101,7,582
2024-03-20 17:40:00-07:00,1468,130,9,574
2024-03-20 18:00:00-07:00,1501,139,12,571
2024-03-20 18:20:00-07:00,1363,120,19,549
2024-03-20 18:40:00-07:00,1173,109,27,526
2024-03-20 19:00:00-07:00,943,80,18,492
2024-03-20 19:20:00-07:00,685,61,19,445
2024-03-20 19:40:00-07:00,617,42,10,407
2024-03-20 20:00:00-07:00,715,57,8,390
2024-03-20 20:20:00-07:00,681,57,8,380
2024-03-20 20:40:00-07:00,597,55,10,368
