time_bucket,delay_total,late_5_min,early_5_min,count
2023-12-27 20:00:00-08:00,76,28,34,374
2023-12-27 20:20:00-08:00,286,43,31,413
2023-12-27 20:40:00-08:00,504,58,28,393
2023-12-27 21:00:00-08:00,179,35,20,363
2023-12-27 21:20:00-08:00,137,26,21,326
2023-12-27 21:40:00-08:00,168,19,8,299
2023-12-27 22:00:00-08:00,102,28,10,266
2023-12-27 22:20:00-08:00,161,22,9,231
2023-12-27 22:40:00-08:00,307,30,5,182
2023-12-27 23:00:00-08:00,341,28,3,166
2023-12-27 23:20:00-08:00,263,22,3,160
2023-12-27 23:40:00-08:00,187,18,7,146
2023-12-28 00:00:00-08:00,176,20,7,155
2023-12-28 00:20:00-08:00,116,21,8,120
2023-12-28 00:40:00-08:00,132,17,5,85
2023-12-28 01:00:00-08:00,93,10,0,56
2023-12-28 01:20:00-08:00,142,14,0,54
2023-12-28 01:40:00-08:00,74,8,0,49
2023-12-28 02:00:00-08:00,48,6,3,50
2023-12-28 02:20:00-08:00,66,7,2,54
2023-12-28 02:40:00-08:00,87,9,1,49
2023-12-28 03:00:00-08:00,54,8,2,51
2023-12-28 03:20:00-08:00,49,5,0,51
2023-12-28 03:40:00-08:00,63,6,1,46
2023-12-28 04:00:00-08:00,29,6,2,48
2023-12-28 04:20:00-08:00,64,6,1,65
2023-12-28 04:40:00-08:00,46,8,2,97
2023-12-28 05:00:00-08:00,81,14,2,170
2023-12-28 05:20:00-08:00,92,19,8,237
2023-12-28 05:40:00-08:00,26,17,16,257
2023-12-28 06:00:00-08:00,132,24,9,307
2023-12-28 06:20:00-08:00,169,22,6,335
2023-12-28 06:40:00-08:00,359,32,9,386
2023-12-28 07:00:00-08:00,162,27,16,448
2023-12-28 07:20:00-08:00,51,30,26,479
2023-12-28 07:40:00-08:00,19,35,31,503
2023-12-28 08:00:00-08:00,-182,29,44,520
2023-12-28 08:20:00-08:00,-211,24,55,524
2023-12-28 08:40:00-08:00,-166,26,58,543
2023-12-28 09:00:00-08:00,90,38,53,556
2023-12-28 09:20:00-08:00,-253,25,58,542
2023-12-28 09:40:00-08:00,-32,42,53,536
2023-12-28 10:00:00-08:00,164,46,44,555
2023-12-28 10:20:00-08:00,251,45,41,541
2023-12-28 10:40:00-08:00,350,47,27,553
2023-12-28 11:00:00-08:00,798,76,20,558
2023-12-28 11:20:00-08:00,882,75,23,565
2023-12-28 11:40:00-08:00,1033,81,18,548
2023-12-28 12:00:00-08:00,881,75,18,557
2023-12-28 12:20:00-08:00,652,65,15,542
2023-12-28 12:40:00-08:00,821,78,18,571
2023-12-28 13:00:00-08:00,670,68,13,560
2023-12-28 13:20:00-08:00,636,63,15,559
2023-12-28 13:40:00-08:00,663,62,17,568
2023-12-28 14:00:00-08:00,491,61,31,564
2023-12-28 14:20:00-08:00,581,71,29,556
2023-12-28 14:40:00-08:00,707,71,20,546
2023-12-28 15:00:00-08:00,840,77,19,562
2023-12-28 15:20:00-08:00,488,57,19,567
2023-12-28 15:40:00-08:00,493,57,23,561
2023-12-28 16:00:00-08:00,479,64,25,569
2023-12-28 16:20:00-08:00,419,55,36,574
2023-12-28 16:40:00-08:00,450,62,18,568
2023-12-28 17:00:00-08:00,576,75,32,579
2023-12-28 17:20:00-08:00,643,84,39,567
2023-12-28 17:40:00-08:00,928,97,33,568
2023-12-28 18:00:00-08:00,890,91,41,553
2023-12-28 18:20:00-08:00,997,93,41,532
2023-12-28 18:40:00-08:00,825,82,49,500
2023-12-28 19:00:00-08:00,659,70,50,467
2023-12-28 19:20:00-08:00,348,49,44,432
2023-12-28 19:40:00-08:00,490,54,32,397
2023-12-28 20:00:00-08:00,66,16,22,171
