time_bucket,delay_total,late_5_min,early_5_min,count
2024-06-14 21:00:00-07:00,609,64,11,335
2024-06-14 21:20:00-07:00,595,59,14,347
2024-06-14 21:40:00-07:00,594,51,5,306
2024-06-14 22:00:00-07:00,706,52,5,282
2024-06-14 22:20:00-07:00,670,45,5,244
2024-06-14 22:40:00-07:00,618,49,4,206
2024-06-14 23:00:00-07:00,517,47,4,177
2024-06-14 23:20:00-07:00,484,40,3,170
2024-06-14 23:40:00-07:00,508,40,2,169
2024-06-15 00:00:00-07:00,274,37,10,154
2024-06-15 00:20:00-07:00,298,35,5,125
2024-06-15 00:40:00-07:00,230,22,5,90
2024-06-15 01:00:00-07:00,164,12,0,59
2024-06-15 01:20:00-07:00,123,9,1,55
2024-06-15 01:40:00-07:00,142,10,1,53
2024-06-15 02:00:00-07:00,97,9,0,48
2024-06-15 02:20:00-07:00,119,16,1,53
2024-06-15 02:40:00-07:00,116,9,0,51
2024-06-15 03:00:00-07:00,139,10,2,53
2024-06-15 03:20:00-07:00,79,8,2,52
2024-06-15 03:40:00-07:00,57,6,0,52
2024-06-15 04:00:00-07:00,39,3,0,47
2024-06-15 04:20:00-07:00,33,2,1,56
2024-06-15 04:40:00-07:00,7,7,3,79
2024-06-15 05:00:00-07:00,105,11,1,148
2024-06-15 05:20:00-07:00,78,13,6,183
2024-06-15 05:40:00-07:00,22,12,7,214
2024-06-15 06:00:00-07:00,16,9,9,235
2024-06-15 06:20:00-07:00,70,11,13,261
2024-06-15 06:40:00-07:00,62,12,6,281
2024-06-15 07:00:00-07:00,59,10,8,313
2024-06-15 07:20:00-07:00,102,18,13,329
2024-06-15 07:40:00-07:00,256,32,12,346
2024-06-15 08:00:00-07:00,193,28,14,373
2024-06-15 08:20:00-07:00,173,23,12,382
2024-06-15 08:40:00-07:00,377,34,12,406
2024-06-15 09:00:00-07:00,295,36,18,414
2024-06-15 09:20:00-07:00,370,33,11,422
2024-06-15 09:40:00-07:00,307,39,17,425
2024-06-15 10:00:00-07:00,610,57,12,440
2024-06-15 10:20:00-07:00,491,56,14,443
2024-06-15 10:40:00-07:00,546,48,10,449
2024-06-15 11:00:00-07:00,659,58,12,451
2024-06-15 11:20:00-07:00,670,60,12,456
2024-06-15 11:40:00-07:00,739,59,4,448
2024-06-15 12:00:00-07:00,766,62,2,457
2024-06-15 12:20:00-07:00,838,75,7,476
2024-06-15 12:40:00-07:00,767,82,12,468
2024-06-15 13:00:00-07:00,746,80,10,458
2024-06-15 13:20:00-07:00,865,85,10,464
2024-06-15 13:40:00-07:00,743,67,8,456
2024-06-15 14:00:00-07:00,771,73,8,458
2024-06-15 14:20:00-07:00,748,74,9,458
2024-06-15 14:40:00-07:00,789,76,9,453
2024-06-15 15:00:00-07:00,719,73,10,460
2024-06-15 15:20:00-07:00,890,80,13,473
2024-06-15 15:40:00-07:00,835,72,13,462
2024-06-15 16:00:00-07:00,858,83,12,463
2024-06-15 16:20:00-07:00,1001,76,12,472
2024-06-15 16:40:00-07:00,935,77,8,469
2024-06-15 17:00:00-07:00,992,87,6,473
2024-06-15 17:20:00-07:00,804,61,13,456
2024-06-15 17:40:00-07:00,768,75,17,473
2024-06-15 18:00:00-07:00,635,68,17,445
2024-06-15 18:20:00-07:00,643,62,15,451
2024-06-15 18:40:00-07:00,469,47,10,424
2024-06-15 19:00:00-07:00,568,45,19,404
2024-06-15 19:20:00-07:00,468,43,15,390
2024-06-15 19:40:00-07:00,569,43,13,365
2024-06-15 20:00:00-07:00,423,44,11,358
2024-06-15 20:20:00-07:00,469,51,9,349
2024-06-15 20:40:00-07:00,410,50,8,339
2024-06-15 21:00:00-07:00,59,15,5,152
