time_bucket,delay_total,late_5_min,early_5_min,count
2024-01-18 20:00:00-08:00,531,48,18,405
2024-01-18 20:20:00-08:00,870,76,14,434
2024-01-18 20:40:00-08:00,800,78,19,405
2024-01-18 21:00:00-08:00,517,54,20,376
2024-01-18 21:20:00-08:00,385,42,13,332
2024-01-18 21:40:00-08:00,392,38,13,295
2024-01-18 22:00:00-08:00,546,46,12,276
2024-01-18 22:20:00-08:00,434,38,5,235
2024-01-18 22:40:00-08:00,506,41,3,184
2024-01-18 23:00:00-08:00,494,35,5,172
2024-01-18 23:20:00-08:00,409,31,3,163
2024-01-18 23:40:00-08:00,273,32,5,166
2024-01-19 00:00:00-08:00,264,29,7,154
2024-01-19 00:20:00-08:00,246,27,5,123
2024-01-19 00:40:00-08:00,237,21,6,88
2024-01-19 01:00:00-08:00,176,15,2,58
2024-01-19 01:20:00-08:00,167,14,0,54
2024-01-19 01:40:00-08:00,172,14,0,54
2024-01-19 02:00:00-08:00,108,11,2,53
2024-01-19 02:20:00-08:00,116,11,2,54
2024-01-19 02:40:00-08:00,100,9,2,53
2024-01-19 03:00:00-08:00,87,9,1,47
2024-01-19 03:20:00-08:00,139,12,0,49
2024-01-19 03:40:00-08:00,90,7,2,54
2024-01-19 04:00:00-08:00,97,9,0,54
2024-01-19 04:20:00-08:00,72,6,2,69
2024-01-19 04:40:00-08:00,76,10,4,105
2024-01-19 05:00:00-08:00,166,18,5,172
2024-01-19 05:20:00-08:00,152,25,9,234
2024-01-19 05:40:00-08:00,78,17,7,262
2024-01-19 06:00:00-08:00,171,21,4,305
2024-01-19 06:20:00-08:00,229,25,8,344
2024-01-19 06:40:00-08:00,285,23,8,391
2024-01-19 07:00:00-08:00,291,37,10,440
2024-01-19 07:20:00-08:00,173,27,13,489
2024-01-19 07:40:00-08:00,236,34,18,522
2024-01-19 08:00:00-08:00,394,51,24,544
2024-01-19 08:20:00-08:00,461,57,21,558
2024-01-19 08:40:00-08:00,476,50,19,561
2024-01-19 09:00:00-08:00,545,57,17,570
2024-01-19 09:20:00-08:00,474,58,24,566
2024-01-19 09:40:00-08:00,536,59,26,558
2024-01-19 10:00:00-08:00,651,69,25,577
2024-01-19 10:20:00-08:00,363,48,26,545
2024-01-19 10:40:00-08:00,401,48,25,545
2024-01-19 11:00:00-08:00,301,48,25,568
2024-01-19 11:20:00-08:00,389,58,26,528
2024-01-19 11:40:00-08:00,1868,180,12,420
2024-01-19 18:20:00-08:00,1064,89,19,458
2024-01-19 18:40:00-08:00,1339,110,14,498
2024-01-19 19:00:00-08:00,944,92,22,484
2024-01-19 19:20:00-08:00,840,75,23,436
2024-01-19 19:40:00-08:00,870,87,22,410
2024-01-19 20:00:00-08:00,177,30,12,184
