time_bucket,delay_total,late_5_min,early_5_min,count
2024-02-07 20:00:00-08:00,436,43,18,396
2024-02-07 20:20:00-08:00,856,63,14,418
2024-02-07 20:40:00-08:00,669,60,17,398
2024-02-07 21:00:00-08:00,547,51,16,368
2024-02-07 21:20:00-08:00,314,36,14,348
2024-02-07 21:40:00-08:00,278,31,9,307
2024-02-07 22:00:00-08:00,202,25,14,287
2024-02-07 22:20:00-08:00,336,30,10,244
2024-02-07 22:40:00-08:00,391,32,4,194
2024-02-07 23:00:00-08:00,375,21,6,182
2024-02-07 23:20:00-08:00,246,25,2,169
2024-02-07 23:40:00-08:00,377,26,4,155
2024-02-08 00:00:00-08:00,244,21,7,157
2024-02-08 00:20:00-08:00,246,26,11,129
2024-02-08 00:40:00-08:00,90,9,6,81
2024-02-08 01:00:00-08:00,126,8,2,60
2024-02-08 01:20:00-08:00,145,11,2,52
2024-02-08 01:40:00-08:00,127,14,1,52
2024-02-08 02:00:00-08:00,110,9,2,50
2024-02-08 02:20:00-08:00,83,4,0,50
2024-02-08 02:40:00-08:00,67,5,1,50
2024-02-08 03:00:00-08:00,111,9,1,54
2024-02-08 03:20:00-08:00,105,6,0,52
2024-02-08 03:40:00-08:00,43,2,0,48
2024-02-08 04:00:00-08:00,49,5,0,52
2024-02-08 04:20:00-08:00,111,8,2,70
2024-02-08 04:40:00-08:00,161,8,3,98
2024-02-08 05:00:00-08:00,123,14,5,171
2024-02-08 05:20:00-08:00,229,29,10,224
2024-02-08 05:40:00-08:00,178,26,8,258
2024-02-08 06:00:00-08:00,358,31,9,307
2024-02-08 06:20:00-08:00,331,33,5,352
2024-02-08 06:40:00-08:00,502,37,10,399
2024-02-08 07:00:00-08:00,517,40,7,458
2024-02-08 07:20:00-08:00,632,52,12,508
2024-02-08 07:40:00-08:00,863,69,9,528
2024-02-08 08:00:00-08:00,1113,71,5,550
2024-02-08 08:20:00-08:00,1570,118,3,562
2024-02-08 08:40:00-08:00,1600,129,3,571
2024-02-08 09:00:00-08:00,1894,140,5,587
2024-02-08 09:20:00-08:00,1849,124,8,586
2024-02-08 09:40:00-08:00,2029,141,5,591
2024-02-08 10:00:00-08:00,1858,119,11,582
2024-02-08 10:20:00-08:00,1547,112,15,570
2024-02-08 10:40:00-08:00,1198,89,11,568
2024-02-08 11:00:00-08:00,961,84,12,562
2024-02-08 11:20:00-08:00,775,73,12,567
2024-02-08 11:40:00-08:00,995,80,14,564
2024-02-08 12:00:00-08:00,896,91,18,581
2024-02-08 12:20:00-08:00,989,84,17,579
2024-02-08 12:40:00-08:00,868,70,14,582
2024-02-08 13:00:00-08:00,984,83,16,590
2024-02-08 13:20:00-08:00,674,66,11,564
2024-02-08 13:40:00-08:00,637,58,20,570
2024-02-08 14:00:00-08:00,856,76,16,581
2024-02-08 14:20:00-08:00,811,70,13,582
2024-02-08 14:40:00-08:00,1007,93,16,587
2024-02-08 15:00:00-08:00,1004,85,16,584
2024-02-08 15:20:00-08:00,1361,103,11,596
2024-02-08 15:40:00-08:00,1271,107,14,601
2024-02-08 16:00:00-08:00,1608,156,14,615
2024-02-08 16:20:00-08:00,1900,145,15,618
2024-02-08 16:40:00-08:00,1859,151,14,602
2024-02-08 17:00:00-08:00,2188,147,17,598
2024-02-08 17:20:00-08:00,2204,165,18,597
2024-02-08 17:40:00-08:00,2554,181,21,586
2024-02-08 18:00:00-08:00,2671,182,12,580
2024-02-08 18:20:00-08:00,2615,166,18,563
2024-02-08 18:40:00-08:00,2631,158,12,538
2024-02-08 19:00:00-08:00,2016,127,21,500
2024-02-08 19:20:00-08:00,2105,112,17,432
2024-02-08 19:40:00-08:00,1512,102,19,419
2024-02-08 20:00:00-08:00,531,40,9,175
