time_bucket,delay_total,late_5_min,early_5_min,count
2024-02-11 20:00:00-08:00,546,43,13,291
2024-02-11 20:20:00-08:00,679,62,7,301
2024-02-11 20:40:00-08:00,1002,99,4,310
2024-02-11 21:00:00-08:00,1204,99,7,303
2024-02-11 21:20:00-08:00,958,84,6,295
2024-02-11 21:40:00-08:00,901,68,9,274
2024-02-11 22:00:00-08:00,845,66,11,258
2024-02-11 22:20:00-08:00,507,41,12,221
2024-02-11 22:40:00-08:00,396,33,3,165
2024-02-11 23:00:00-08:00,429,33,2,157
2024-02-11 23:20:00-08:00,310,28,2,147
2024-02-11 23:40:00-08:00,328,26,3,139
2024-02-12 00:00:00-08:00,171,18,5,128
2024-02-12 00:20:00-08:00,173,18,5,110
2024-02-12 00:40:00-08:00,430,23,2,84
2024-02-12 01:00:00-08:00,162,11,2,56
2024-02-12 01:20:00-08:00,126,13,1,50
2024-02-12 01:40:00-08:00,90,10,1,43
2024-02-12 02:00:00-08:00,80,8,1,45
2024-02-12 02:20:00-08:00,80,7,1,45
2024-02-12 02:40:00-08:00,63,6,0,44
2024-02-12 03:00:00-08:00,40,2,1,44
2024-02-12 03:20:00-08:00,20,5,2,47
2024-02-12 03:40:00-08:00,73,7,1,43
2024-02-12 04:00:00-08:00,48,6,0,50
2024-02-12 04:20:00-08:00,57,5,0,63
2024-02-12 04:40:00-08:00,37,4,2,90
2024-02-12 05:00:00-08:00,83,5,0,163
2024-02-12 05:20:00-08:00,89,18,5,224
2024-02-12 05:40:00-08:00,39,14,9,254
2024-02-12 06:00:00-08:00,145,20,11,298
2024-02-12 06:20:00-08:00,235,24,3,347
2024-02-12 06:40:00-08:00,314,28,9,383
2024-02-12 07:00:00-08:00,309,30,11,442
2024-02-12 07:20:00-08:00,376,36,15,490
2024-02-12 07:40:00-08:00,377,43,24,515
2024-02-12 08:00:00-08:00,366,48,21,537
2024-02-12 08:20:00-08:00,432,52,18,534
2024-02-12 08:40:00-08:00,497,55,19,550
2024-02-12 09:00:00-08:00,396,48,22,543
2024-02-12 09:20:00-08:00,351,51,28,546
2024-02-12 09:40:00-08:00,386,55,29,532
2024-02-12 10:00:00-08:00,366,58,26,542
2024-02-12 10:20:00-08:00,114,31,36,527
2024-02-12 10:40:00-08:00,177,36,31,531
2024-02-12 11:00:00-08:00,6,33,33,529
2024-02-12 11:20:00-08:00,4,32,37,528
2024-02-12 11:40:00-08:00,31,29,33,538
2024-02-12 12:00:00-08:00,114,28,26,524
2024-02-12 12:20:00-08:00,87,28,31,533
2024-02-12 12:40:00-08:00,254,33,19,535
2024-02-12 13:00:00-08:00,236,44,27,542
2024-02-12 13:20:00-08:00,377,44,20,545
2024-02-12 13:40:00-08:00,381,50,23,554
2024-02-12 14:00:00-08:00,285,45,23,566
2024-02-12 14:20:00-08:00,240,42,24,548
2024-02-12 14:40:00-08:00,476,58,19,547
2024-02-12 15:00:00-08:00,467,61,22,565
2024-02-12 15:20:00-08:00,553,60,20,578
2024-02-12 15:40:00-08:00,461,59,25,580
2024-02-12 16:00:00-08:00,594,71,24,597
2024-02-12 16:20:00-08:00,811,83,19,597
2024-02-12 16:40:00-08:00,896,96,19,588
2024-02-12 17:00:00-08:00,886,92,17,587
2024-02-12 17:20:00-08:00,1074,97,23,591
2024-02-12 17:40:00-08:00,1120,104,24,575
2024-02-12 18:00:00-08:00,1102,91,26,550
2024-02-12 18:20:00-08:00,1253,100,29,537
2024-02-12 18:40:00-08:00,942,80,33,499
2024-02-12 19:00:00-08:00,896,73,35,463
2024-02-12 19:20:00-08:00,1021,70,22,420
2024-02-12 19:40:00-08:00,881,74,27,409
2024-02-12 20:00:00-08:00,194,21,13,178
