time_bucket,delay_total,late_5_min,early_5_min,count
2024-06-17 21:00:00-07:00,425,46,13,333
2024-06-17 21:20:00-07:00,570,50,10,358
2024-06-17 21:40:00-07:00,541,47,14,316
2024-06-17 22:00:00-07:00,445,47,17,286
2024-06-17 22:20:00-07:00,417,37,15,237
2024-06-17 22:40:00-07:00,416,23,4,187
2024-06-17 23:00:00-07:00,324,20,4,168
2024-06-17 23:20:00-07:00,191,23,6,165
2024-06-17 23:40:00-07:00,148,25,9,171
2024-06-18 00:00:00-07:00,119,17,6,150
2024-06-18 00:20:00-07:00,62,16,12,121
2024-06-18 00:40:00-07:00,75,17,6,85
2024-06-18 01:00:00-07:00,81,8,2,59
2024-06-18 01:20:00-07:00,58,7,0,52
2024-06-18 01:40:00-07:00,63,8,0,49
2024-06-18 02:00:00-07:00,134,8,2,55
2024-06-18 02:20:00-07:00,27,5,2,49
2024-06-18 02:40:00-07:00,30,3,0,50
2024-06-18 03:00:00-07:00,19,3,1,53
2024-06-18 03:20:00-07:00,30,5,2,50
2024-06-18 03:40:00-07:00,24,6,2,51
2024-06-18 04:00:00-07:00,13,5,3,52
2024-06-18 04:20:00-07:00,-27,2,4,69
2024-06-18 04:40:00-07:00,13,4,4,102
2024-06-18 05:00:00-07:00,50,7,4,182
2024-06-18 05:20:00-07:00,81,16,9,230
2024-06-18 05:40:00-07:00,87,23,9,260
2024-06-18 06:00:00-07:00,142,18,4,307
2024-06-18 06:20:00-07:00,200,20,6,362
2024-06-18 06:40:00-07:00,260,30,5,399
2024-06-18 07:00:00-07:00,264,27,7,462
2024-06-18 07:20:00-07:00,227,33,20,505
2024-06-18 07:40:00-07:00,354,43,16,534
2024-06-18 08:00:00-07:00,415,46,15,548
2024-06-18 08:20:00-07:00,521,57,23,558
2024-06-18 08:40:00-07:00,602,59,21,563
2024-06-18 09:00:00-07:00,522,55,21,563
2024-06-18 09:20:00-07:00,611,57,18,580
2024-06-18 09:40:00-07:00,534,60,16,563
2024-06-18 10:00:00-07:00,515,47,12,566
2024-06-18 10:20:00-07:00,448,53,19,564
2024-06-18 10:40:00-07:00,494,54,18,560
2024-06-18 11:00:00-07:00,471,50,17,567
2024-06-18 11:20:00-07:00,409,51,21,570
2024-06-18 11:40:00-07:00,572,51,12,566
2024-06-18 12:00:00-07:00,442,45,21,551
2024-06-18 12:20:00-07:00,676,62,18,579
2024-06-18 12:40:00-07:00,648,61,16,571
2024-06-18 13:00:00-07:00,624,57,15,564
2024-06-18 13:20:00-07:00,587,65,23,562
2024-06-18 13:40:00-07:00,724,64,18,573
2024-06-18 14:00:00-07:00,663,61,14,575
2024-06-18 14:20:00-07:00,617,65,17,578
2024-06-18 14:40:00-07:00,781,68,25,583
2024-06-18 15:00:00-07:00,787,71,15,576
2024-06-18 15:20:00-07:00,667,57,18,577
2024-06-18 15:40:00-07:00,785,74,16,587
2024-06-18 16:00:00-07:00,958,84,10,596
2024-06-18 16:20:00-07:00,917,84,16,597
2024-06-18 16:40:00-07:00,1056,86,15,601
2024-06-18 17:00:00-07:00,1109,92,27,584
2024-06-18 17:20:00-07:00,1230,98,25,576
2024-06-18 17:40:00-07:00,1373,107,20,581
2024-06-18 18:00:00-07:00,982,86,19,565
2024-06-18 18:20:00-07:00,657,69,32,533
2024-06-18 18:40:00-07:00,668,60,32,503
2024-06-18 19:00:00-07:00,488,51,32,482
2024-06-18 19:20:00-07:00,388,48,25,440
2024-06-18 19:40:00-07:00,411,46,22,414
2024-06-18 20:00:00-07:00,378,42,19,398
2024-06-18 20:20:00-07:00,424,44,14,375
2024-06-18 20:40:00-07:00,486,44,15,350
2024-06-18 21:00:00-07:00,245,18,9,154
