time_bucket,delay_total,late_5_min,early_5_min,count
2024-03-30 21:00:00-07:00,433,46,8,317
2024-03-30 21:20:00-07:00,535,52,13,319
2024-03-30 21:40:00-07:00,619,48,10,312
2024-03-30 22:00:00-07:00,516,37,7,277
2024-03-30 22:20:00-07:00,443,31,8,227
2024-03-30 22:40:00-07:00,434,37,0,186
2024-03-30 23:00:00-07:00,433,37,1,170
2024-03-30 23:20:00-07:00,390,34,1,160
2024-03-30 23:40:00-07:00,383,30,0,157
2024-03-31 00:00:00-07:00,341,29,2,152
2024-03-31 00:20:00-07:00,327,24,2,119
2024-03-31 00:40:00-07:00,304,21,3,90
2024-03-31 01:00:00-07:00,280,17,0,64
2024-03-31 01:20:00-07:00,159,17,2,57
2024-03-31 01:40:00-07:00,110,10,0,49
2024-03-31 02:00:00-07:00,135,9,0,45
2024-03-31 02:20:00-07:00,140,12,1,50
2024-03-31 02:40:00-07:00,160,10,2,47
2024-03-31 03:00:00-07:00,166,11,0,48
2024-03-31 03:20:00-07:00,127,8,1,49
2024-03-31 03:40:00-07:00,107,8,0,45
2024-03-31 04:00:00-07:00,141,10,0,46
2024-03-31 04:20:00-07:00,120,7,1,54
2024-03-31 04:40:00-07:00,75,7,1,85
2024-03-31 05:00:00-07:00,70,7,1,141
2024-03-31 05:20:00-07:00,22,11,7,182
2024-03-31 05:40:00-07:00,2,13,11,201
2024-03-31 06:00:00-07:00,-36,7,13,223
2024-03-31 06:20:00-07:00,21,16,17,247
2024-03-31 06:40:00-07:00,128,16,9,270
2024-03-31 07:00:00-07:00,-27,13,13,299
2024-03-31 07:20:00-07:00,34,15,20,314
2024-03-31 07:40:00-07:00,66,16,12,326
2024-03-31 08:00:00-07:00,98,21,16,366
2024-03-31 08:20:00-07:00,-162,25,24,385
2024-03-31 08:40:00-07:00,142,27,21,387
2024-03-31 09:00:00-07:00,154,27,20,404
2024-03-31 09:20:00-07:00,-39,16,20,420
2024-03-31 09:40:00-07:00,22,22,21,403
2024-03-31 10:00:00-07:00,182,21,16,421
2024-03-31 10:20:00-07:00,217,36,21,431
2024-03-31 10:40:00-07:00,229,32,12,435
2024-03-31 11:00:00-07:00,458,39,18,446
2024-03-31 11:20:00-07:00,511,37,20,451
2024-03-31 11:40:00-07:00,408,33,13,436
2024-03-31 12:00:00-07:00,558,40,12,448
2024-03-31 12:20:00-07:00,387,41,12,445
2024-03-31 12:40:00-07:00,427,37,17,450
2024-03-31 13:00:00-07:00,478,40,16,460
2024-03-31 13:20:00-07:00,595,50,14,460
2024-03-31 13:40:00-07:00,565,50,11,456
2024-03-31 14:00:00-07:00,459,46,15,459
2024-03-31 14:20:00-07:00,427,41,14,465
2024-03-31 14:40:00-07:00,570,46,13,463
2024-03-31 15:00:00-07:00,458,39,15,457
2024-03-31 15:20:00-07:00,454,48,25,454
2024-03-31 15:40:00-07:00,578,52,20,457
2024-03-31 16:00:00-07:00,553,49,25,456
2024-03-31 16:20:00-07:00,621,47,27,456
2024-03-31 16:40:00-07:00,503,42,21,445
2024-03-31 17:00:00-07:00,410,49,27,453
2024-03-31 17:20:00-07:00,274,43,27,444
2024-03-31 17:40:00-07:00,256,35,25,445
2024-03-31 18:00:00-07:00,332,36,34,443
2024-03-31 18:20:00-07:00,213,25,38,424
2024-03-31 18:40:00-07:00,235,29,31,410
2024-03-31 19:00:00-07:00,367,40,29,394
2024-03-31 19:20:00-07:00,222,35,29,378
2024-03-31 19:40:00-07:00,163,25,22,344
2024-03-31 20:00:00-07:00,71,27,21,355
2024-03-31 20:20:00-07:00,197,33,14,342
2024-03-31 20:40:00-07:00,426,32,8,345
2024-03-31 21:00:00-07:00,6,17,15,179
