time_bucket,delay_total,late_5_min,early_5_min,count
2023-12-01 20:00:00-08:00,682,49,15,395
2023-12-01 20:20:00-08:00,515,46,11,389
2023-12-01 20:40:00-08:00,800,53,12,370
2023-12-01 21:00:00-08:00,880,69,9,376
2023-12-01 21:20:00-08:00,614,59,15,334
2023-12-01 21:40:00-08:00,644,71,9,321
2023-12-01 22:00:00-08:00,620,61,9,294
2023-12-01 22:20:00-08:00,533,45,2,238
2023-12-01 22:40:00-08:00,504,46,2,196
2023-12-01 23:00:00-08:00,498,41,2,175
2023-12-01 23:20:00-08:00,315,24,5,164
2023-12-01 23:40:00-08:00,302,29,3,166
2023-12-02 00:00:00-08:00,265,25,4,155
2023-12-02 00:20:00-08:00,318,31,5,125
2023-12-02 00:40:00-08:00,307,24,1,88
2023-12-02 01:00:00-08:00,251,16,0,62
2023-12-02 01:20:00-08:00,168,13,0,55
2023-12-02 01:40:00-08:00,182,17,1,54
2023-12-02 02:00:00-08:00,184,17,0,50
2023-12-02 02:20:00-08:00,215,15,0,57
2023-12-02 02:40:00-08:00,169,12,0,51
2023-12-02 03:00:00-08:00,166,12,0,53
2023-12-02 03:20:00-08:00,162,10,0,52
2023-12-02 03:40:00-08:00,103,8,0,47
2023-12-02 04:00:00-08:00,105,10,0,52
2023-12-02 04:20:00-08:00,106,9,1,57
2023-12-02 04:40:00-08:00,97,11,0,82
2023-12-02 05:00:00-08:00,102,12,2,140
2023-12-02 05:20:00-08:00,104,14,5,181
2023-12-02 05:40:00-08:00,62,13,10,206
2023-12-02 06:00:00-08:00,115,15,8,236
2023-12-02 06:20:00-08:00,217,23,7,261
2023-12-02 06:40:00-08:00,241,23,5,269
2023-12-02 07:00:00-08:00,299,27,7,310
2023-12-02 07:20:00-08:00,233,36,11,321
2023-12-02 07:40:00-08:00,267,31,9,346
2023-12-02 08:00:00-08:00,315,32,6,374
2023-12-02 08:20:00-08:00,355,27,11,385
2023-12-02 08:40:00-08:00,278,33,13,391
2023-12-02 09:00:00-08:00,406,33,13,415
2023-12-02 09:20:00-08:00,491,44,16,430
2023-12-02 09:40:00-08:00,258,41,21,421
2023-12-02 10:00:00-08:00,449,47,10,443
2023-12-02 10:20:00-08:00,539,51,9,439
2023-12-02 10:40:00-08:00,599,55,10,449
2023-12-02 11:00:00-08:00,559,56,11,446
2023-12-02 11:20:00-08:00,556,56,12,451
2023-12-02 11:40:00-08:00,640,65,9,455
2023-12-02 12:00:00-08:00,599,68,13,458
2023-12-02 12:20:00-08:00,594,56,11,455
2023-12-02 12:40:00-08:00,612,61,9,463
2023-12-02 13:00:00-08:00,625,63,12,465
2023-12-02 13:20:00-08:00,549,56,13,468
2023-12-02 13:40:00-08:00,748,77,13,451
2023-12-02 14:00:00-08:00,796,71,11,452
2023-12-02 14:20:00-08:00,1098,92,10,480
2023-12-02 14:40:00-08:00,1068,86,10,473
2023-12-02 15:00:00-08:00,981,84,12,462
2023-12-02 15:20:00-08:00,1071,76,12,467
2023-12-02 15:40:00-08:00,1318,91,9,457
2023-12-02 16:00:00-08:00,1221,99,14,485
2023-12-02 16:20:00-08:00,1102,92,14,477
2023-12-02 16:40:00-08:00,1224,80,17,472
2023-12-02 17:00:00-08:00,998,78,15,457
2023-12-02 17:20:00-08:00,1125,84,9,465
2023-12-02 17:40:00-08:00,1101,85,12,453
2023-12-02 18:00:00-08:00,1052,78,11,460
2023-12-02 18:20:00-08:00,806,66,8,428
2023-12-02 18:40:00-08:00,891,59,14,431
2023-12-02 19:00:00-08:00,755,56,17,418
2023-12-02 19:20:00-08:00,622,63,14,387
2023-12-02 19:40:00-08:00,437,48,10,362
2023-12-02 20:00:00-08:00,185,21,8,166
