time_bucket,delay_total,late_5_min,early_5_min,count
2024-03-18 21:00:00-07:00,343,43,16,329
2024-03-18 21:20:00-07:00,530,55,12,368
2024-03-18 21:40:00-07:00,428,49,13,326
2024-03-18 22:00:00-07:00,377,46,13,288
2024-03-18 22:20:00-07:00,361,40,14,238
2024-03-18 22:40:00-07:00,341,36,3,187
2024-03-18 23:00:00-07:00,344,27,3,172
2024-03-18 23:20:00-07:00,214,21,3,159
2024-03-18 23:40:00-07:00,259,17,4,159
2024-03-19 00:00:00-07:00,209,14,7,154
2024-03-19 00:20:00-07:00,73,15,10,123
2024-03-19 00:40:00-07:00,137,11,3,80
2024-03-19 01:00:00-07:00,69,6,1,56
2024-03-19 01:20:00-07:00,84,9,0,54
2024-03-19 01:40:00-07:00,75,5,0,51
2024-03-19 02:00:00-07:00,17,2,1,48
2024-03-19 02:20:00-07:00,50,7,1,54
2024-03-19 02:40:00-07:00,-3,3,2,51
2024-03-19 03:00:00-07:00,-21,1,2,48
2024-03-19 03:20:00-07:00,12,1,1,50
2024-03-19 03:40:00-07:00,8,2,1,47
2024-03-19 04:00:00-07:00,30,4,1,52
2024-03-19 04:20:00-07:00,14,6,1,66
2024-03-19 04:40:00-07:00,-7,5,3,105
2024-03-19 05:00:00-07:00,59,7,3,179
2024-03-19 05:20:00-07:00,1,5,5,224
2024-03-19 05:40:00-07:00,93,18,9,264
2024-03-19 06:00:00-07:00,198,28,7,314
2024-03-19 06:20:00-07:00,231,25,5,349
2024-03-19 06:40:00-07:00,186,23,11,387
2024-03-19 07:00:00-07:00,374,31,8,444
2024-03-19 07:20:00-07:00,526,49,10,488
2024-03-19 07:40:00-07:00,633,63,12,524
2024-03-19 08:00:00-07:00,965,76,9,549
2024-03-19 08:20:00-07:00,1195,98,14,559
2024-03-19 08:40:00-07:00,1275,112,8,578
2024-03-19 09:00:00-07:00,1161,114,8,583
2024-03-19 09:20:00-07:00,1111,93,8,578
2024-03-19 09:40:00-07:00,964,79,11,558
2024-03-19 10:00:00-07:00,781,68,15,558
2024-03-19 10:20:00-07:00,543,58,18,558
2024-03-19 10:40:00-07:00,531,62,17,546
2024-03-19 11:00:00-07:00,396,55,18,540
2024-03-19 11:20:00-07:00,368,49,22,546
2024-03-19 11:40:00-07:00,460,51,15,542
2024-03-19 12:00:00-07:00,538,68,23,552
2024-03-19 12:20:00-07:00,559,59,21,556
2024-03-19 12:40:00-07:00,506,53,16,566
2024-03-19 13:00:00-07:00,574,61,13,560
2024-03-19 13:20:00-07:00,460,53,15,557
2024-03-19 13:40:00-07:00,326,53,24,556
2024-03-19 14:00:00-07:00,233,44,21,561
2024-03-19 14:20:00-07:00,360,47,15,557
2024-03-19 14:40:00-07:00,420,52,14,574
2024-03-19 15:00:00-07:00,410,48,17,568
2024-03-19 15:20:00-07:00,658,68,15,576
2024-03-19 15:40:00-07:00,847,77,20,599
2024-03-19 16:00:00-07:00,972,101,16,600
2024-03-19 16:20:00-07:00,1319,119,10,609
2024-03-19 16:40:00-07:00,1319,122,8,590
2024-03-19 17:00:00-07:00,1338,123,11,594
2024-03-19 17:20:00-07:00,1374,121,10,590
2024-03-19 17:40:00-07:00,1469,133,4,586
2024-03-19 18:00:00-07:00,1624,138,9,575
2024-03-19 18:20:00-07:00,1380,121,15,550
2024-03-19 18:40:00-07:00,1108,95,11,535
2024-03-19 19:00:00-07:00,865,73,12,484
2024-03-19 19:20:00-07:00,767,70,17,458
2024-03-19 19:40:00-07:00,687,53,13,416
2024-03-19 20:00:00-07:00,524,46,15,398
2024-03-19 20:20:00-07:00,610,51,7,382
2024-03-19 20:40:00-07:00,638,49,7,357
2024-03-19 21:00:00-07:00,211,26,5,172
